Extraversion,Observant,Thinking,Judging,Age,way of watching movies,Action,Adventure,Animated,Comedy,Historical,Fantasy,Horror,Science fiction,Documentary,Gender_Female,Gender_Male,Gender_Non-binary / third gender,Entertaining,relaxing,funny,express my feelings,educating,education_bachelor,education_high school or below,education_master or above,Major_arts-related,Major_business-related,Major_engineering and techonology,Major_environment-related,Major_literature language and social sciences,Major_science and math-related,subscription_Never,subscription_Somtimes,subscription_Yes,Frequency_6-10 times a year,Frequency_fewer than 5 times a year,Frequency_more than 10 times a year,number_0-20,number_21-40,number_over 40,with_With friends,with_alone,with_with boyfriend/girlfriend,with_with family,Actor/actress,director,advertisements,genres,previews,comment
53,55,49,51,20.0,0,4,4,3,4,3,4,3,4,4,0,1,0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0
56,50,47,57,19.0,0,5,5,5,3,4,5,5,5,5,0,1,0,0.0,1.0,1.0,0.0,1.0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1.0,0.0,1.0,0.0,0.0,1.0
57,58,55,47,20.0,0,4,4,3,5,3,4,4,3,3,1,0,0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1.0,0.0,0.0,1.0,0.0,1.0
52,48,48,56,21.0,0,5,5,5,5,5,5,5,5,5,0,1,0,1.0,1.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1.0,1.0,0.0,0.0,0.0,1.0
32,47,50,62,20.0,1,4,5,3,5,2,4,3,5,4,0,1,0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1.0,0.0,0.0,0.0,1.0,1.0
48,52,59,50,20.0,1,4,5,4,4,3,5,4,4,4,1,0,0,0.0,1.0,1.0,1.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,1.0,1.0,0.0
46,73,34,46,42.0,0,3,3,3,5,3,4,3,3,4,1,0,0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1.0,0.0,0.0,0.0,1.0,1.0
32,57,33,49,19.0,0,4,4,5,4,3,4,2,5,3,0,1,0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1.0,1.0,0.0,1.0,0.0,0.0
68,33,36,72,48.0,1,3,4,4,4,4,2,4,3,4,1,0,0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1.0,1.0,0.0,0.0,0.0,1.0
49,63,61,52,21.0,1,2,4,4,4,4,4,1,4,4,1,0,0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0.0,1.0,1.0,0.0,1.0,0.0
34,54,64,61,19.0,0,4,4,3,4,3,4,1,5,3,1,0,0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1.0,0.0,0.0,1.0,0.0,1.0
46,80,72,63,22.0,1,1,1,1,3,1,1,1,1,3,0,1,0,1.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1.0,1.0,0.0,0.0,0.0,1.0
42,56,67,50,36.0,1,4,3,4,4,5,4,4,4,5,0,1,0,1.0,0.0,1.0,1.0,0.0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1.0,1.0,1.0,0.0,0.0,0.0
