Finished,Extraversion,Observant,Thinking,Judging,Age,Gender,education,Major,way of watching movies,subscription,Frequency,number of movies,Reasons,With whom,factors,Action,Adventure,Animated,Comedy,Historical,Fantasy,Horror,Science fiction,Documentary
TRUE,53,57,52,51,20,Male,bachelor,engineering and techonology,Go to cinema or theatres,Never,6-10 times a year,0-20,funny,with family,"Actor/actress,director,genres",neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike
TRUE,59,51,41,85,20,Male,bachelor,engineering and techonology,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"relaxing,funny",With friends,"Actor/actress,director,comments of other audience",neither like nor dislike,like,like,Strongly like,dislike,like,neither like nor dislike,Strongly dislike,Strongly dislike
TRUE,54,51,53,51,19,Female,bachelor,engineering and techonology,Go to cinema or theatres,Yes,6-10 times a year,21-40,"relaxing,funny,express my feelings",With friends,"Actor/actress,previews,comments of other audience",neither like nor dislike,neither like nor dislike,neither like nor dislike,neither like nor dislike,dislike,like,like,neither like nor dislike,neither like nor dislike
TRUE,53,55,49,51,20,Male,master or above,engineering and techonology,on mobile devices at home or other places,Never,fewer than 5 times a year,0-20,Entertaining,With friends,"Actor/actress,director,comments of other audience",like,like,neither like nor dislike,like,neither like nor dislike,like,neither like nor dislike,like,like
TRUE,56,50,47,57,19,Male,high school or below,engineering and techonology,on mobile devices at home or other places,Yes,6-10 times a year,0-20,"relaxing,funny,educating",with family,"Actor/actress,advertisements,comments of other audience",Strongly like,Strongly like,Strongly like,neither like nor dislike,like,Strongly like,Strongly like,Strongly like,Strongly like
TRUE,57,58,55,47,20,Female,bachelor,engineering and techonology,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,genres,comments of other audience",like,like,neither like nor dislike,Strongly like,neither like nor dislike,like,like,neither like nor dislike,neither like nor dislike
TRUE,52,48,48,56,21,Male,high school or below,engineering and techonology,on mobile devices at home or other places,Never,fewer than 5 times a year,over 40,"Entertaining,relaxing",with boyfriend/girlfriend,"Actor/actress,director,comments of other audience",Strongly like,Strongly like,Strongly like,Strongly like,Strongly like,Strongly like,Strongly like,Strongly like,Strongly like
TRUE,32,47,50,62,20,Male,bachelor,engineering and techonology,Go to cinema or theatres,Somtimes,6-10 times a year,0-20,"Entertaining,relaxing,funny",With friends,"Actor/actress,previews,comments of other audience",like,Strongly like,neither like nor dislike,Strongly like,dislike,like,neither like nor dislike,Strongly like,like
TRUE,48,52,59,50,20,Female,bachelor,engineering and techonology,Go to cinema or theatres,Somtimes,6-10 times a year,21-40,"relaxing,funny,express my feelings",With friends,"Actor/actress,genres,previews",like,Strongly like,like,like,neither like nor dislike,Strongly like,like,like,like
TRUE,46,73,34,46,42,Female,master or above,literature language and social sciences,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,relaxing,with family,"Actor/actress,previews,comments of other audience",neither like nor dislike,neither like nor dislike,neither like nor dislike,Strongly like,neither like nor dislike,like,neither like nor dislike,neither like nor dislike,like
TRUE,32,57,33,49,19,Male,bachelor,engineering and techonology,on mobile devices at home or other places,Somtimes,fewer than 5 times a year,0-20,"Entertaining,relaxing,funny",alone,"Actor/actress,director,genres",like,like,Strongly like,like,neither like nor dislike,like,dislike,Strongly like,neither like nor dislike
TRUE,68,33,36,72,48,Female,master or above,literature language and social sciences,Go to cinema or theatres,Never,6-10 times a year,0-20,relaxing,with family,"Actor/actress,director,comments of other audience",neither like nor dislike,like,like,like,like,dislike,like,neither like nor dislike,like
